Price,Area_sqft,Bedrooms,City
208638,1175,3,Mumbai
151883,2392,4,Chennai
224997,2739,5,Chennai
348542,1622,2,Hyderabad
144773,2071,2,Hyderabad
144774,1477,3,Mumbai
358472,1508,3,Hyderabad
238880,2643,1,Hyderabad
128703,2187,5,Hyderabad
213476,536,4,Chennai
129093,2048,2,Mumbai
128944,2826,1,Bangalore
183685,2764,1,Chennai
62527,1372,2,Hyderabad
68702,2321,4,Chennai
122866,1796,1,Hyderabad
98084,2609,1,Hyderabad
190445,1095,5,Chennai
103361,2403,4,Mumbai
80325,1228,1,Hyderabad
338684,1865,4,Mumbai
145380,896,2,Bangalore
168343,1198,3,Hyderabad
79827,2724,1,Mumbai
123971,2135,5,Mumbai
172036,895,2,Bangalore
91537,2992,4,Mumbai
196388,575,2,Mumbai
120533,764,1,Bangalore
140667,2319,4,Hyderabad
120468,1217,3,Mumbai
410913,1350,2,Mumbai
161660,1890,1,Mumbai
95907,643,5,Chennai
245554,1384,4,Bangalore
88395,895,2,Chennai
180670,1992,2,Bangalore
61093,1667,3,Hyderabad
83776,1562,3,Hyderabad
179589,2656,5,Mumbai
235445,1565,5,Bangalore
177315,1709,1,Hyderabad
153610,2945,1,Bangalore
140007,1133,5,Hyderabad
77709,1656,5,Chennai
113559,1738,4,Hyderabad
129272,1232,3,Chennai
276111,734,1,Hyderabad
193263,1250,3,Mumbai
67405,1453,3,Chennai
191384,2042,5,Hyderabad
134249,1697,4,Mumbai
116022,2176,2,Chennai
220982,1691,4,Mumbai
272528,2717,4,Bangalore
259273,1916,3,Bangalore
106979,1717,4,Chennai
139440,2040,1,Hyderabad
192073,2576,3,Chennai
265076,1945,1,Mumbai
128080,2886,2,Hyderabad
148326,2019,3,Bangalore
93604,1888,2,Hyderabad
89491,2356,3,Bangalore
244327,1865,5,Hyderabad
320654,999,4,Hyderabad
156999,2180,5,Hyderabad
268811,1010,2,Mumbai
195012,716,4,Mumbai
117882,1824,3,Chennai
194988,1655,4,Chennai
351167,2327,1,Bangalore
159865,2310,4,Mumbai
355870,2992,1,Bangalore
43920,1705,4,Chennai
245475,2714,1,Bangalore
169994,590,2,Chennai
140153,1213,5,Mumbai
170395,2381,3,Hyderabad
60247,538,4,Mumbai
145825,672,5,Bangalore
194571,1152,3,Bangalore
340764,1253,3,Mumbai
125600,1743,1,Mumbai
108635,1581,2,Chennai
126642,2183,2,Bangalore
257223,955,5,Bangalore
191832,1328,2,Mumbai
124881,1394,4,Hyderabad
210372,1884,2,Bangalore
170849,2458,5,Hyderabad
264163,2934,2,Mumbai
114573,2496,4,Mumbai
138160,2895,1,Chennai
133779,689,5,Bangalore
78295,1004,1,Hyderabad
188727,1714,1,Chennai
185447,2031,1,Bangalore
163171,1323,3,Chennai
